INDUS,PTRATIO
2.31,15.3
7.07,17.8
7.07,17.8
2.18,18.7
2.18,18.7
2.18,18.7
7.87,15.2
7.87,15.2
7.87,15.2
7.87,15.2
7.87,15.2
7.87,15.2
7.87,15.2
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
8.14,21
5.96,19.2
5.96,19.2
5.96,19.2
5.96,19.2
2.95,18.3
2.95,18.3
6.91,17.9
6.91,17.9
6.91,17.9
6.91,17.9
6.91,17.9
6.91,17.9
6.91,17.9
6.91,17.9
6.91,17.9
5.64,16.8
5.64,16.8
5.64,16.8
5.64,16.8
4,21.1
1.22,17.9
0.74,17.3
1.32,15.1
5.13,19.7
5.13,19.7
5.13,19.7
5.13,19.7
5.13,19.7
5.13,19.7
1.38,18.6
3.37,16.1
3.37,16.1
6.07,18.9
6.07,18.9
6.07,18.9
10.81,19.2
10.81,19.2
10.81,19.2
10.81,19.2
12.83,18.7
12.83,18.7
12.83,18.7
12.83,18.7
12.83,18.7
12.83,18.7
4.86,19
4.86,19
4.86,19
4.86,19
4.49,18.5
4.49,18.5
4.49,18.5
4.49,18.5
3.41,17.8
3.41,17.8
3.41,17.8
3.41,17.8
15.04,18.2
15.04,18.2
15.04,18.2
2.89,18
2.89,18
2.89,18
2.89,18
2.89,18
8.56,20.9
8.56,20.9
8.56,20.9
8.56,20.9
8.56,20.9
8.56,20.9
8.56,20.9
8.56,20.9
8.56,20.9
8.56,20.9
8.56,20.9
10.01,17.8
10.01,17.8
10.01,17.8
10.01,17.8
10.01,17.8
10.01,17.8
10.01,17.8
10.01,17.8
10.01,17.8
25.65,19.1
25.65,19.1
25.65,19.1
25.65,19.1
25.65,19.1
25.65,19.1
25.65,19.1
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
21.89,21.2
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
19.58,14.7
4.05,16.6
4.05,16.6
4.05,16.6
4.05,16.6
4.05,16.6
4.05,16.6
4.05,16.6
2.46,17.8
2.46,17.8
2.46,17.8
2.46,17.8
2.46,17.8
2.46,17.8
2.46,17.8
2.46,17.8
3.44,15.2
3.44,15.2
3.44,15.2
3.44,15.2
3.44,15.2
3.44,15.2
2.93,15.6
2.93,15.6
0.46,14.4
1.52,12.6
1.52,12.6
1.52,12.6
1.47,17
1.47,17
2.03,14.7
2.03,14.7
2.68,14.7
2.68,14.7
10.59,18.6
10.59,18.6
10.59,18.6
10.59,18.6
10.59,18.6
10.59,18.6
10.59,18.6
10.59,18.6
10.59,18.6
10.59,18.6
10.59,18.6
13.89,16.4
13.89,16.4
13.89,16.4
13.89,16.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
6.2,17.4
4.93,16.6
4.93,16.6
4.93,16.6
4.93,16.6
4.93,16.6
4.93,16.6
5.86,19.1
5.86,19.1
5.86,19.1
5.86,19.1
5.86,19.1
5.86,19.1
5.86,19.1
5.86,19.1
5.86,19.1
5.86,19.1
3.64,16.4
3.64,16.4
3.75,15.9
3.97,13
3.97,13
3.97,13
3.97,13
3.97,13
3.97,13
3.97,13
3.97,13
3.97,13
3.97,13
3.97,13
3.97,13
6.96,18.6
6.96,18.6
6.96,18.6
6.96,18.6
6.96,18.6
6.41,17.6
6.41,17.6
6.41,17.6
6.41,17.6
6.41,17.6
3.33,14.9
3.33,14.9
3.33,14.9
3.33,14.9
1.21,13.6
2.97,15.3
2.25,15.3
1.76,18.2
5.32,16.6
5.32,16.6
5.32,16.6
4.95,19.2
4.95,19.2
4.95,19.2
13.92,16
13.92,16
13.92,16
13.92,16
13.92,16
2.24,14.8
2.24,14.8
2.24,14.8
6.09,16.1
6.09,16.1
6.09,16.1
2.18,18.4
2.18,18.4
2.18,18.4
2.18,18.4
9.9,18.4
9.9,18.4
9.9,18.4
9.9,18.4
9.9,18.4
9.9,18.4
9.9,18.4
9.9,18.4
9.9,18.4
9.9,18.4
9.9,18.4
9.9,18.4
7.38,19.6
7.38,19.6
7.38,19.6
7.38,19.6
7.38,19.6
7.38,19.6
7.38,19.6
7.38,19.6
3.24,16.9
3.24,16.9
3.24,16.9
6.06,16.9
6.06,16.9
5.19,20.2
5.19,20.2
5.19,20.2
5.19,20.2
5.19,20.2
5.19,20.2
5.19,20.2
5.19,20.2
1.52,15.5
1.89,15.9
3.78,17.6
3.78,17.6
4.39,18.8
4.39,18.8
4.15,17.9
2.01,17
1.25,19.7
1.25,19.7
1.69,18.3
1.69,18.3
2.02,17
1.91,22
1.91,22
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
18.1,20.2
27.74,20.1
27.74,20.1
27.74,20.1
27.74,20.1
27.74,20.1
9.69,19.2
9.69,19.2
9.69,19.2
9.69,19.2
9.69,19.2
9.69,19.2
9.69,19.2
9.69,19.2
11.93,21
11.93,21
11.93,21
11.93,21
11.93,21
